,group,task_id,order,completed_time,actions_completed,p_incorrect,p_abandoned,norm_all_measures
76,c6262795f034865c9e9203305638ee79,9. Scaling Round Objects,9.0,0.2608,5.39,46.25,7.69,0.19432683765610057
181,c6262795f034865c9e9203305638ee79,Square Cross-Sections,10.0,0.4233,7.86,59.69,20.0,0.2870335536439244
100,c6262795f034865c9e9203305638ee79,Bird Fez,11.0,0.3233,7.05,53.73,14.29,0.24551171967795554
158,c6262795f034865c9e9203305638ee79,Pi Henge,12.0,0.2525,4.87,30.56,0.0,0.1124275442333129
36,c6262795f034865c9e9203305638ee79,45-Degree Rotations,13.0,0.308,6.59,27.65,9.09,0.13573502550082175
166,c6262795f034865c9e9203305638ee79,Pyramids are Strange,14.0,0.5712,12.19,58.03,27.27,0.3125832137300989
108,c6262795f034865c9e9203305638ee79,Boxes Obscure Spheres,15.0,0.81,16.87,74.7,41.67,0.4271228556413814
143,c6262795f034865c9e9203305638ee79,Object Limits,16.0,0.361,7.63,75.25,9.09,0.30419654680799646
211,c6262795f034865c9e9203305638ee79,Warm Up,17.0,0.0711,1.5,0.0,10.0,0.03402860465721236
84,c6262795f034865c9e9203305638ee79,Angled Silhouette,18.0,0.2386,5.52,33.33,22.22,0.19854796680270706
196,c6262795f034865c9e9203305638ee79,Sugar Cones,19.0,0.1057,2.43,16.67,0.0,0.05996481140751929
188,c6262795f034865c9e9203305638ee79,Stranger Shapes,20.0,0.308,7.43,56.94,28.57,0.3058118472720284
203,c6262795f034865c9e9203305638ee79,Tall and Small,21.0,0.66,16.79,83.87,33.33,0.43084039402430413
173,c6262795f034865c9e9203305638ee79,Ramp Up and Can It,22.0,1.26,28.72,78.33,50.0,0.4864439074322532
128,c6262795f034865c9e9203305638ee79,More Than Meets Your Eye,23.0,0.7675,22.56,31.25,0.0,0.1422070969808121
136,c6262795f034865c9e9203305638ee79,Not Bird,24.0,1.37,47.88,62.5,50.0,0.4605892949504754
218,c6262795f034865c9e9203305638ee79,Zzz,26.0,0.59,21.84,58.33,33.33,0.3491254305572954
116,c6262795f034865c9e9203305638ee79,Bull Market,27.0,10.26,287.67,94.44,66.67,1.0
122,c6262795f034865c9e9203305638ee79,Few Clues,28.0,2.9,156.0,50.0,0.0,0.41432160132583273
151,c6262795f034865c9e9203305638ee79,Orange Dance,29.0,,,100.0,100.0,0.7272482609021965
92,c6262795f034865c9e9203305638ee79,Bear Market,30.0,inf,,100.0,100.0,0.7272482609021965
5,cb71040b5bd1341a34afc24961536ebd,1. One Box,1.0,0.0397,0.6,4.41,2.86,0.0
13,cb71040b5bd1341a34afc24961536ebd,2. Separated Boxes,2.0,0.0931,1.36,42.09,18.75,0.2888755014007087
21,cb71040b5bd1341a34afc24961536ebd,3. Rotate a Pyramid,3.0,0.0758,1.17,35.77,0.0,0.16480759441326592
29,cb71040b5bd1341a34afc24961536ebd,4. Match Silhouettes,4.0,0.1277,2.12,40.4,0.0,0.19112485949975672
45,cb71040b5bd1341a34afc24961536ebd,5. Removing Objects,5.0,0.2058,3.23,47.93,7.69,0.2700769612742617
53,cb71040b5bd1341a34afc24961536ebd,6. Stretch a Ramp,6.0,0.1678,2.88,46.43,4.17,0.2450031781732567
61,cb71040b5bd1341a34afc24961536ebd,7. Max 2 Boxes,7.0,0.1022,1.98,30.62,0.0,0.13553461056976096
69,cb71040b5bd1341a34afc24961536ebd,8. Combine 2 Ramps,8.0,0.1665,3.17,27.9,8.0,0.15768227170877747
77,cb71040b5bd1341a34afc24961536ebd,9. Scaling Round Objects,9.0,0.2086,4.19,46.97,0.0,0.22846922917972323
182,cb71040b5bd1341a34afc24961536ebd,Square Cross-Sections,10.0,0.2676,4.45,58.72,29.17,0.4323865287679199
101,cb71040b5bd1341a34afc24961536ebd,Bird Fez,11.0,0.4172,8.93,52.89,18.18,0.34758391185348236
159,cb71040b5bd1341a34afc24961536ebd,Pi Henge,12.0,0.1244,2.7,12.96,0.0,0.03515385432193618
37,cb71040b5bd1341a34afc24961536ebd,45-Degree Rotations,13.0,0.1969,4.18,22.19,15.79,0.16184733096842766
167,cb71040b5bd1341a34afc24961536ebd,Pyramids are Strange,14.0,0.3943,7.77,49.55,17.65,0.3261075501329437
109,cb71040b5bd1341a34afc24961536ebd,Boxes Obscure Spheres,15.0,1.0957,17.96,70.53,53.33,0.6130926474807362
144,cb71040b5bd1341a34afc24961536ebd,Object Limits,16.0,0.5475,7.2,80.82,27.27,0.5490725942723655
85,cb71040b5bd1341a34afc24961536ebd,Angled Silhouette,18.0,0.2914,5.07,47.5,41.67,0.42737424980457894
197,cb71040b5bd1341a34afc24961536ebd,Sugar Cones,19.0,0.4371,6.86,50.84,30.0,0.3914978871263973
189,cb71040b5bd1341a34afc24961536ebd,Stranger Shapes,20.0,0.788,15.89,66.44,28.57,0.4734469583704126
204,cb71040b5bd1341a34afc24961536ebd,Tall and Small,21.0,1.405,32.9,74.17,20.0,0.47709691613972444
174,cb71040b5bd1341a34afc24961536ebd,Ramp Up and Can It,22.0,2.1,31.75,83.33,75.0,0.7877204029520257
129,cb71040b5bd1341a34afc24961536ebd,More Than Meets Your Eye,23.0,4.175,114.84,40.0,33.33,0.3455369923267794
137,cb71040b5bd1341a34afc24961536ebd,Not Bird,24.0,1.36,28.5,58.33,0.0,0.2930403158714157
219,cb71040b5bd1341a34afc24961536ebd,Zzz,26.0,,,100.0,100.0,1.0
93,cb71040b5bd1341a34afc24961536ebd,Bear Market,30.0,inf,inf,100.0,100.0,1.0
6,e21640b4aea9349ad77d86d6017cb061,1. One Box,1.0,0.0292,0.49,9.56,0.0,0.0
14,e21640b4aea9349ad77d86d6017cb061,2. Separated Boxes,2.0,0.0433,0.69,42.34,4.17,0.20649241320070374
22,e21640b4aea9349ad77d86d6017cb061,3. Rotate a Pyramid,3.0,0.0454,0.76,38.2,2.13,0.1730548358836491
30,e21640b4aea9349ad77d86d6017cb061,4. Match Silhouettes,4.0,0.0636,1.14,33.85,2.22,0.14878095187525234
46,e21640b4aea9349ad77d86d6017cb061,5. Removing Objects,5.0,0.0941,1.71,36.16,13.33,0.21592356366475862
54,e21640b4aea9349ad77d86d6017cb061,6. Stretch a Ramp,6.0,0.0968,1.98,50.21,7.32,0.2665165162034417
62,e21640b4aea9349ad77d86d6017cb061,7. Max 2 Boxes,7.0,0.0447,0.9,25.0,10.0,0.13633441067277796
70,e21640b4aea9349ad77d86d6017cb061,8. Combine 2 Ramps,8.0,0.0529,1.21,18.01,18.42,0.13756602231636247
78,e21640b4aea9349ad77d86d6017cb061,9. Scaling Round Objects,9.0,0.205,4.73,42.04,23.53,0.29892196210579036
183,e21640b4aea9349ad77d86d6017cb061,Square Cross-Sections,10.0,0.3386,7.45,61.23,57.58,0.5734972754792008
102,e21640b4aea9349ad77d86d6017cb061,Bird Fez,11.0,0.1884,4.32,40.18,26.92,0.304838807808791
160,e21640b4aea9349ad77d86d6017cb061,Pi Henge,12.0,0.1865,4.53,29.95,10.53,0.16703139114395477
38,e21640b4aea9349ad77d86d6017cb061,45-Degree Rotations,13.0,0.1723,3.19,23.33,31.58,0.23177552779716296
168,e21640b4aea9349ad77d86d6017cb061,Pyramids are Strange,14.0,0.28,6.5,56.02,22.22,0.3719699863290171
110,e21640b4aea9349ad77d86d6017cb061,Boxes Obscure Spheres,15.0,0.5863,10.86,82.58,55.56,0.6849605910997415
145,e21640b4aea9349ad77d86d6017cb061,Object Limits,16.0,1.21,18.79,94.23,76.92,0.8550002909608594
212,e21640b4aea9349ad77d86d6017cb061,Warm Up,17.0,0.072,1.56,5.0,9.09,0.01829369020151159
86,e21640b4aea9349ad77d86d6017cb061,Angled Silhouette,18.0,0.645,12.65,30.0,60.0,0.4078525474365166
198,e21640b4aea9349ad77d86d6017cb061,Sugar Cones,19.0,0.1312,3.51,20.83,33.33,0.22608251678187993
190,e21640b4aea9349ad77d86d6017cb061,Stranger Shapes,20.0,1.2533,33.5,78.89,70.0,0.7342097906615805
205,e21640b4aea9349ad77d86d6017cb061,Tall and Small,21.0,inf,inf,100.0,100.0,1.0
175,e21640b4aea9349ad77d86d6017cb061,Ramp Up and Can It,22.0,1.74,16.0,66.67,75.0,0.6891018007485649
130,e21640b4aea9349ad77d86d6017cb061,More Than Meets Your Eye,23.0,inf,inf,100.0,100.0,1.0
138,e21640b4aea9349ad77d86d6017cb061,Not Bird,24.0,inf,,100.0,100.0,1.0
220,e21640b4aea9349ad77d86d6017cb061,Zzz,26.0,inf,,100.0,100.0,1.0
152,e21640b4aea9349ad77d86d6017cb061,Orange Dance,29.0,inf,,100.0,100.0,1.0
94,e21640b4aea9349ad77d86d6017cb061,Bear Market,30.0,inf,inf,100.0,100.0,1.0
7,e6af7d42084352a39449e6d0a09b18cd,1. One Box,1.0,0.0088,0.19,0.67,1.32,0.0
15,e6af7d42084352a39449e6d0a09b18cd,2. Separated Boxes,2.0,0.0232,0.5,44.93,4.05,0.10918455987798346
23,e6af7d42084352a39449e6d0a09b18cd,3. Rotate a Pyramid,3.0,0.0186,0.36,35.27,1.41,0.08010177007770533
31,e6af7d42084352a39449e6d0a09b18cd,4. Match Silhouettes,4.0,0.0286,0.64,19.95,1.43,0.04723433667240022
47,e6af7d42084352a39449e6d0a09b18cd,5. Removing Objects,5.0,0.0409,0.83,31.14,1.43,0.07434375962707823
55,e6af7d42084352a39449e6d0a09b18cd,6. Stretch a Ramp,6.0,0.0263,0.48,37.83,1.45,0.08709439955613486
63,e6af7d42084352a39449e6d0a09b18cd,7. Max 2 Boxes,7.0,0.0277,0.55,25.17,1.49,0.05884165519764806
71,e6af7d42084352a39449e6d0a09b18cd,8. Combine 2 Ramps,8.0,0.0361,0.86,13.79,10.29,0.055846649974831956
79,e6af7d42084352a39449e6d0a09b18cd,9. Scaling Round Objects,9.0,0.0412,0.87,35.78,4.76,0.09297988932507163
184,e6af7d42084352a39449e6d0a09b18cd,Square Cross-Sections,10.0,0.0528,1.18,44.88,13.64,0.13690065642470978
103,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,11.0,0.0755,1.64,46.23,9.68,0.13405527247717244
161,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,12.0,0.0432,1.08,23.28,6.67,0.0700628293627962
39,e6af7d42084352a39449e6d0a09b18cd,45-Degree Rotations,13.0,0.063,1.56,30.17,6.9,0.08959101074214809
169,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,14.0,0.0837,2.03,53.88,14.04,0.16382333730654822
111,e6af7d42084352a39449e6d0a09b18cd,Boxes Obscure Spheres,15.0,0.103,2.33,64.1,14.55,0.1909499331616328
146,e6af7d42084352a39449e6d0a09b18cd,Object Limits,16.0,0.0781,1.57,75.0,20.37,0.22485380268595018
213,e6af7d42084352a39449e6d0a09b18cd,Warm Up,17.0,0.0178,0.32,6.77,5.66,0.02545077005008688
87,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,18.0,0.0613,1.51,20.32,13.46,0.08262856457722709
199,e6af7d42084352a39449e6d0a09b18cd,Sugar Cones,19.0,0.0294,0.67,18.4,7.69,0.05885703128768045
191,e6af7d42084352a39449e6d0a09b18cd,Stranger Shapes,20.0,0.1329,3.09,80.63,24.0,0.2562018822351914
206,e6af7d42084352a39449e6d0a09b18cd,Tall and Small,21.0,0.1174,2.63,66.04,17.39,0.20442399793299984
176,e6af7d42084352a39449e6d0a09b18cd,Ramp Up and Can It,22.0,0.0703,1.39,47.64,23.4,0.16877778488761241
131,e6af7d42084352a39449e6d0a09b18cd,More Than Meets Your Eye,23.0,0.1918,5.26,41.58,17.5,0.16448997334270826
139,e6af7d42084352a39449e6d0a09b18cd,Not Bird,24.0,0.146,3.48,59.64,18.6,0.1981584881077083
221,e6af7d42084352a39449e6d0a09b18cd,Zzz,26.0,0.1029,2.59,52.29,24.39,0.18852276925153816
117,e6af7d42084352a39449e6d0a09b18cd,Bull Market,27.0,0.3475,8.79,66.61,47.37,0.31827907470087896
123,e6af7d42084352a39449e6d0a09b18cd,Few Clues,28.0,0.3079,8.52,59.31,54.84,0.315074150918195
153,e6af7d42084352a39449e6d0a09b18cd,Orange Dance,29.0,1.405,40.09,88.03,80.0,0.6422843695488794
95,e6af7d42084352a39449e6d0a09b18cd,Bear Market,30.0,3.025,87.3,97.63,95.0,1.0
