group,user,task_id,level_puzzle,started,create_shape,submitted,completed
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bear Market,Advanced Puzzles,1,0,0,0
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Sandbox,SAND,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,476c86cda40e6f3a762d65030a131dd2,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Sandbox,SAND,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Object Limits,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Tetromino,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bd6a63c5523e2eced8f2dc3bd2aaea5e,Angled Silhouette,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Object Limits,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Tetromino,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,5c5f8fb35c0db55cea793e0b85c01d19,Sandbox,SAND,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,3c32dab9a9041d872c3d1dc527a8caee,45-Degree Rotations,Intermediate Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,a7cd72c73f26587b48a0800d7e3d1fa6,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Object Limits,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Tetromino,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Angled Silhouette,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Sugar Cones,Advanced Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,b25afda10342aa07780ccf349f6f3015,Stranger Shapes,Advanced Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,ac5b8161e38c3ac6753b0654de52823b,Pyramids are Strange,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,Square Cross-Sections,Intermediate Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,54417fb66f18dc9566731e6f9033ba7c,Bear Market,Advanced Puzzles,1,0,0,0
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,bf76c066852c378feeaf64cbc6eef4f9,8. Combine 2 Ramps,Basic Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Square Cross-Sections,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,45-Degree Rotations,Intermediate Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Pyramids are Strange,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Tetromino,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Object Limits,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Angled Silhouette,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Boxes Obscure Spheres,Intermediate Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Sugar Cones,Advanced Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,11f0815f430c98926be1961578f4e383,Zzz,Advanced Puzzles,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,Sandbox,SAND,1,1,0,0
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,6. Stretch a Ramp,Basic Puzzles,1,1,1,0
cb71040b5bd1341a34afc24961536ebd,7801d79b9626077d540a1788ce9d2031,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,1. One Box,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,2. Separated Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,3. Rotate a Pyramid,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,4. Match Silhouettes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,5. Removing Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,6. Stretch a Ramp,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,7. Max 2 Boxes,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,8. Combine 2 Ramps,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,9. Scaling Round Objects,Basic Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,Square Cross-Sections,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,Bird Fez,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,Pi Henge,Intermediate Puzzles,1,1,1,1
cb71040b5bd1341a34afc24961536ebd,f7ce6e7ecd96412457901bd9e2409788,45-Degree Rotations,Intermediate Puzzles,1,1,1,1
